product_cd	category_major_cd	category_medium_cd	category_small_cd	unit_price	unit_cost	category_major_name	category_medium_name	category_small_name
P040101001	04	0401	040101	198.0	149.0	惣菜	御飯類	弁当類
P040101002	04	0401	040101	218.0	164.0	惣菜	御飯類	弁当類
P040101003	04	0401	040101	230.0	173.0	惣菜	御飯類	弁当類
P040101004	04	0401	040101	248.0	186.0	惣菜	御飯類	弁当類
P040101005	04	0401	040101	268.0	201.0	惣菜	御飯類	弁当類
P040101006	04	0401	040101	298.0	224.0	惣菜	御飯類	弁当類
P040101007	04	0401	040101	338.0	254.0	惣菜	御飯類	弁当類
P040101008	04	0401	040101	420.0	315.0	惣菜	御飯類	弁当類
P040101009	04	0401	040101	498.0	374.0	惣菜	御飯類	弁当類
P040101010	04	0401	040101	580.0	435.0	惣菜	御飯類	弁当類
P040102001	04	0401	040102	268.0	201.0	惣菜	御飯類	寿司類
P040102002	04	0401	040102	268.0	201.0	惣菜	御飯類	寿司類
P040102003	04	0401	040102	278.0	209.0	惣菜	御飯類	寿司類
P040102004	04	0401	040102	318.0	239.0	惣菜	御飯類	寿司類
P040102005	04	0401	040102	318.0	239.0	惣菜	御飯類	寿司類
P040102006	04	0401	040102	318.0	239.0	惣菜	御飯類	寿司類
P040102007	04	0401	040102	338.0	254.0	惣菜	御飯類	寿司類
P040102008	04	0401	040102	358.0	269.0	惣菜	御飯類	寿司類
P040102009	04	0401	040102	358.0	269.0	惣菜	御飯類	寿司類
P040102010	04	0401	040102	358.0	269.0	惣菜	御飯類	寿司類
P040102011	04	0401	040102	358.0	269.0	惣菜	御飯類	寿司類
P040102012	04	0401	040102	358.0	269.0	惣菜	御飯類	寿司類
P040102013	04	0401	040102	398.0	299.0	惣菜	御飯類	寿司類
P040102014	04	0401	040102	398.0	299.0	惣菜	御飯類	寿司類
P040102015	04	0401	040102	398.0	299.0	惣菜	御飯類	寿司類
P040102016	04	0401	040102	398.0	299.0	惣菜	御飯類	寿司類
P040102017	04	0401	040102	438.0	329.0	惣菜	御飯類	寿司類
